address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
9668 E Sharon Dr,SCOTTSDALE,AZ,85260,554900,2806.0,5.0,3.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/9668-E-Sharon-Dr-Scottsdale-AZ-85260/8060578_zpid/
9555 E Raintree Dr UNIT 1012,SCOTTSDALE,AZ,85260,268500,1509.0,2.0,2.0,,Condo for sale,http://www.zillow.com/homes/for_sale//homedetails/9555-E-Raintree-Dr-UNIT-1012-Scottsdale-AZ-85260/61629482_zpid/
12212 N 85th St,SCOTTSDALE,AZ,85260,639900,2695.0,4.0,3.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/12212-N-85th-St-Scottsdale-AZ-85260/7863129_zpid/
12290 N 86th St,SCOTTSDALE,AZ,85260,889000,3529.0,5.0,3.5,34.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/12290-N-86th-St-Scottsdale-AZ-85260/7863201_zpid/
8008 E Desert Cove Ave,SCOTTSDALE,AZ,85260,700000,3600.0,4.0,3.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/8008-E-Desert-Cove-Ave-Scottsdale-AZ-85260/7864324_zpid/
13329 N 94th Pl,SCOTTSDALE,AZ,85260,475000,1924.0,3.0,2.0,4.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/13329-N-94th-Pl-Scottsdale-AZ-85260/8056786_zpid/
9287 E Cortez St,SCOTTSDALE,AZ,85260,385000,1439.0,3.0,2.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/9287-E-Cortez-St-Scottsdale-AZ-85260/8048956_zpid/
9555 E Raintree Dr UNIT 2054,SCOTTSDALE,AZ,85260,259000,1298.0,2.0,2.0,,For sale by owner,http://www.zillow.com/homes/for_sale//homedetails/9555-E-Raintree-Dr-UNIT-2054-Scottsdale-AZ-85260/52428610_zpid/
10344 E Sharon Dr,SCOTTSDALE,AZ,85260,460000,2114.0,3.0,3.0,11.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/10344-E-Sharon-Dr-Scottsdale-AZ-85260/66667681_zpid/
9024 E Blanche Dr,SCOTTSDALE,AZ,85260,549900,3157.0,5.0,3.0,21.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/9024-E-Blanche-Dr-Scottsdale-AZ-85260/8044038_zpid/
